property_id,transit_id,neighborhood_id,security_id,utility_id,feature_id,construction_id,address,zipcode,state,city,year_built,square_feet,property_type,bedroom_number,bathroom_number,description
1,893,650,1,1,935,935,56162 Omar Park,10060,CT,New York,1985,2446,Townhouse,4,2,"This charming 4-bedroom townhouse offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy gym, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for a rental opportunity."
2,599,535,2,2,718,718,466 Dawson Terrace Apt. 858,11033,CT,New York,1921,1853,Townhouse,3,2,"This luxurious 3-bedroom townhouse offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy gym, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for style and comfort."
3,27,838,3,3,731,731,9026 Chad Valley,10410,CT,Buffalo,1902,3077,Apartment,1,3,"This charming 1-bedroom apartment offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy pool, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for a rental opportunity."
4,862,638,4,4,555,555,827 Santos Stream,7725,NY,Elizabeth,2011,2079,Townhouse,3,2,"This charming 3-bedroom townhouse offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy parking, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for a rental opportunity."
5,646,920,5,5,876,876,3635 Alison Bridge,6119,NY,Stamford,1929,1712,Condo,3,1,"This luxurious 3-bedroom condo offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy patio, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for style and comfort."
6,401,839,6,6,397,397,47461 Patrick Groves,10313,CT,Rochester,1907,843,Townhouse,3,1,"This luxurious 3-bedroom townhouse offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy gym, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for style and comfort."
7,923,855,7,7,911,911,58222 Rodriguez Bridge Apt. 443,6132,NJ,Waterbury,2017,2270,Apartment,4,3,"This luxurious 4-bedroom apartment offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy gym, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for style and comfort."
8,301,984,8,8,505,505,1148 Christopher Harbors,6120,NJ,Hartford,1973,1240,Townhouse,1,3,"This luxurious 1-bedroom townhouse offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy doorman, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for style and comfort."
9,283,834,9,9,219,219,83270 Kelley Burg Suite 646,6088,CT,Hartford,1970,3354,Condo,4,1,"This luxurious 4-bedroom condo offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy parking, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for style and comfort."
10,79,952,10,10,981,981,518 Brittney Tunnel Apt. 084,10769,CT,Buffalo,1967,1869,Single Family Home,4,2,"This luxurious 4-bedroom single family home offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy patio, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for style and comfort."
11,857,184,11,11,15,15,580 Diaz Mission,6280,NJ,Waterbury,1943,1738,Townhouse,3,2,"This charming 3-bedroom townhouse offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy parking, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for a rental opportunity."
12,649,923,12,12,552,552,1154 Victor Plains,6303,NY,New Haven,1964,2638,Apartment,1,3,"This luxurious 1-bedroom apartment offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy doorman, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for style and comfort."
13,788,672,13,13,559,559,98933 Mann Islands,14349,CT,New York,1980,2561,Townhouse,3,3,"This charming 3-bedroom townhouse offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy doorman, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for a rental opportunity."
14,990,916,14,14,907,907,9426 Larry Corner,6130,NY,Stamford,1953,1676,Townhouse,4,2,"This charming 4-bedroom townhouse offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy doorman, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for a rental opportunity."
15,888,958,15,15,450,450,683 Burch Lake,8791,NY,Elizabeth,1909,2850,Single Family Home,3,3,"This luxurious 3-bedroom single family home offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy parking, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for style and comfort."
16,316,282,16,16,60,60,62537 Jacob Parkway Suite 424,7265,NJ,Jersey City,1954,3457,Townhouse,1,1,"This luxurious 1-bedroom townhouse offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy pool, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for style and comfort."
17,76,840,17,17,126,126,7299 Jennifer Estate Suite 768,13845,NY,Buffalo,1978,2126,Condo,4,1,"This charming 4-bedroom condo offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy pool, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for a rental opportunity."
